id,name,email,password,phone,role,emergencyContact,leaseStart,leaseEnd,created_at,updated_at
101,Admin Ako,unocutie@gmail.com,123,9123456789,admin,,,,2026-01-20 09:15:32,2026-01-20 09:15:32
102,Izumi,izumi@gmail.com,luc,9847562013,admin,,,,2026-01-20 14:42:10,2026-01-20 18:05:47
103,John Jaranjan,jj007@gmail.com,jjj,9356891247,admin,,,,2026-01-20 19:03:55,2026-01-21 08:20:18
104,Alex Santos,alexsantos1@gmail.com,221,9628374951,tenant,9847562013,2025-01-01,2025-12-31,2026-01-21 07:25:44,2026-01-21 07:25:44
105,Haley De Guzman,haihai@gmail.com,hhh,9915028364,tenant,9847123014,2025-05-06,2026-05-06,2026-01-21 11:12:09,2026-01-21 15:30:01
106,Robin Hoodas,robhod@gmail.com,robh,9472639185,tenant,9323462015,2025-07-12,2026-05-07,2026-01-21 16:45:27,2026-01-21 16:45:27
107,Maria Leonora,marile@gmail.com,mal22,9581293746,tenant,9875652016,2025-10-12,2026-10-12,2026-01-22 08:10:11,2026-01-22 08:35:00
108,Jasper Jeans,jasjas@gmail.com,jjs,9763415982,tenant,9847554564,2025-03-23,2026-03-23,2026-01-22 09:12:44,2026-01-22 09:12:44
109,Ahra Gacutina,ahrag@gmail.com,ahr,9539782416,tenant,9864645455,2025-01-22,2026-01-22,2026-01-22 11:30:21,2026-01-22 15:45:09
110,Princess Del Rosario,psdl@gmail.com,psd1,9847295061,tenant,9846756756,2025-06-12,2026-06-12,2026-01-22 13:22:59,2026-01-23 10:14:33
111,Edmond Yabu,edya@gmail.com,yaby,9404736782,tenant,9845675660,2025-02-14,2026-02-14,2026-01-23 07:48:02,2026-01-23 07:48:02
112,Joash Uwa,joash@gmail.com,jjuw,9023678342,tenant,9847656561,2025-08-13,2026-08-13,2026-01-23 09:25:40,2026-01-23 11:55:11
113,Jonathan Bai,bai@gmail.com,baib,9534762395,tenant,9845645645,2025-11-12,2026-11-12,2026-01-23 14:39:55,2026-01-23 18:20:44
114,Mark Reyes,mark21@gmail.com,mar,9367203473,tenant,9845623234,2025-11-13,2026-11-13,2026-01-21 07:25:44,2026-01-21 07:25:44
115,Christian Paul Dela Cruz,chrispaul@gmail.com,csjd,9847531873,tenant,9845631227,2024-06-04,2026-11-14,2026-01-21 11:12:09,2026-01-21 15:30:01
116,Joshua Garcia,joshuagarcia@gmail.com,a2jd,9358324393,tenant,9845342343,2025-01-22,2026-01-22,2026-01-21 16:45:27,2026-01-21 16:45:27
117,Mary Mendoza,mary27@gmail.com,jzl2,9976328749,tenant,9845634343,2025-06-12,2026-06-12,2026-01-22 08:10:11,2026-01-22 08:35:00
118,Anne Marie Flores,marieann@gmail.com,asdw,9832602343,tenant,9876567530,2025-01-01,2026-02-14,2026-01-22 09:12:44,2026-01-22 09:12:44
119,Janelle Bautista,janelle2004@gmail.com,nyah,9268930638,tenant,9845645531,2025-05-06,2026-08-13,2026-01-22 11:30:21,2026-01-22 15:45:09
120,Kimberly Rose Aquino,kimrose51@gmail.com,sdae,9237832945,tenant,9343454332,2025-07-12,2026-08-14,2026-01-22 13:22:59,2026-01-23 10:14:33
121,Ralph Navarro,ralphnavarro16@gmail.com,21ad,9528728934,tenant,9345353575,2025-10-12,2026-08-15,2026-01-23 07:48:02,2026-01-23 07:48:02
122,Angelica Villanueva,angelvillanueva@gmail.com,2123,9583297493,tenant,9848477550,2025-11-12,2026-08-16,2026-01-23 09:25:40,2026-01-23 11:55:11
123,Sean Samson,seansamson325@gmail.com,sd3s,9302638435,tenant,9854353453,2025-11-13,2026-08-17,2026-01-23 14:39:55,2026-01-23 18:20:44
